StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2022-08-09 11:30:00,2022-08-09 11:44:59,203,8,144,120
2022-08-09 11:45:00,2022-08-09 11:59:59,387,15,274,240
2022-08-09 12:00:00,2022-08-09 12:14:59,171,6,121,120
2022-08-09 14:00:00,2022-08-09 14:14:59,97,5,68,60
2022-08-09 14:30:00,2022-08-09 14:44:59,227,10,161,180
2022-08-09 22:15:00,2022-08-09 22:29:59,17,0,12,60
2022-08-10 06:45:00,2022-08-10 06:59:59,77,4,54,60
2022-08-10 07:30:00,2022-08-10 07:44:59,110,6,78,60
2022-08-10 07:45:00,2022-08-10 07:59:59,760,28,539,420
2022-08-10 08:45:00,2022-08-10 08:59:59,164,7,116,60
2022-08-10 09:00:00,2022-08-10 09:14:59,330,17,234,300
2022-08-10 09:15:00,2022-08-10 09:29:59,102,4,72,60
2022-08-10 09:30:00,2022-08-10 09:44:59,271,13,192,240
2022-08-10 11:00:00,2022-08-10 11:14:59,424,16,300,300
2022-08-10 11:15:00,2022-08-10 11:29:59,398,14,282,240
2022-08-10 11:30:00,2022-08-10 11:44:59,342,12,242,180
2022-08-10 11:45:00,2022-08-10 11:59:59,420,16,297,300
2022-08-10 16:15:00,2022-08-10 16:29:59,907,35,643,480
2022-08-10 16:30:00,2022-08-10 16:44:59,1220,45,865,840
2022-08-10 17:15:00,2022-08-10 17:29:59,132,7,93,60
2022-08-10 18:15:00,2022-08-10 18:29:59,100,5,70,60
2022-08-10 19:15:00,2022-08-10 19:29:59,203,8,144,180
2022-08-10 20:00:00,2022-08-10 20:14:59,147,7,104,120
2022-08-10 20:45:00,2022-08-10 20:59:59,449,19,318,300
2022-08-10 21:00:00,2022-08-10 21:14:59,223,10,158,120
2022-08-10 21:15:00,2022-08-10 21:29:59,569,23,403,540
2022-08-10 22:15:00,2022-08-10 22:29:59,80,5,56,60
2022-08-10 22:30:00,2022-08-10 22:44:59,185,9,131,120
2022-08-11 06:15:00,2022-08-11 06:29:59,240,9,170,120
2022-08-11 07:00:00,2022-08-11 07:14:59,639,26,453,360
2022-08-11 07:15:00,2022-08-11 07:29:59,274,10,194,180
2022-08-11 07:30:00,2022-08-11 07:44:59,389,18,275,300
2022-08-11 07:45:00,2022-08-11 07:59:59,124,6,87,60
2022-08-11 09:15:00,2022-08-11 09:29:59,102,3,72,60
2022-08-11 09:45:00,2022-08-11 09:59:59,618,23,438,360
2022-08-11 10:00:00,2022-08-11 10:14:59,137,5,97,120
2022-08-11 18:45:00,2022-08-11 18:59:59,184,11,130,180
2022-08-11 19:00:00,2022-08-11 19:14:59,259,14,183,120
2022-08-11 19:15:00,2022-08-11 19:29:59,558,22,395,360
2022-08-11 20:45:00,2022-08-11 20:59:59,137,7,97,60
2022-08-11 21:15:00,2022-08-11 21:29:59,384,17,272,240
2022-08-11 21:30:00,2022-08-11 21:44:59,316,13,224,180
2022-08-11 21:45:00,2022-08-11 21:59:59,160,7,113,120
2022-08-11 22:00:00,2022-08-11 22:14:59,353,14,250,300
2022-08-12 05:45:00,2022-08-12 05:59:59,159,7,112,120
2022-08-12 07:30:00,2022-08-12 07:44:59,155,9,109,60
2022-08-12 07:45:00,2022-08-12 07:59:59,612,22,434,360
2022-08-12 08:00:00,2022-08-12 08:14:59,933,35,661,600
2022-08-12 10:00:00,2022-08-12 10:14:59,1170,42,830,660
2022-08-12 10:15:00,2022-08-12 10:29:59,671,26,476,480
2022-08-12 10:30:00,2022-08-12 10:44:59,474,20,336,300
2022-08-12 10:45:00,2022-08-12 10:59:59,1250,45,886,720
2022-08-12 11:00:00,2022-08-12 11:14:59,90,4,63,120
2022-08-12 11:15:00,2022-08-12 11:29:59,101,5,71,60
2022-08-12 14:30:00,2022-08-12 14:44:59,151,6,107,120
2022-08-12 14:45:00,2022-08-12 14:59:59,269,11,190,180
2022-08-12 15:30:00,2022-08-12 15:44:59,384,18,272,180
2022-08-12 17:45:00,2022-08-12 17:59:59,395,19,280,300
2022-08-12 18:00:00,2022-08-12 18:14:59,335,12,237,180
2022-08-12 18:30:00,2022-08-12 18:44:59,754,28,534,420
2022-08-12 18:45:00,2022-08-12 18:59:59,376,16,266,240
2022-08-12 19:00:00,2022-08-12 19:14:59,646,26,458,540
2022-08-12 19:15:00,2022-08-12 19:29:59,993,37,704,660
2022-08-12 19:30:00,2022-08-12 19:44:59,13,1,9,60
2022-08-12 21:30:00,2022-08-12 21:44:59,887,33,629,540
2022-08-12 21:45:00,2022-08-12 21:59:59,389,18,275,300
2022-08-12 22:00:00,2022-08-12 22:14:59,245,11,173,240
2022-08-12 22:15:00,2022-08-12 22:29:59,186,8,131,180
2022-08-13 04:15:00,2022-08-13 04:29:59,135,6,95,60
2022-08-13 05:15:00,2022-08-13 05:29:59,372,17,263,360
2022-08-13 05:30:00,2022-08-13 05:44:59,440,19,312,240
2022-08-13 06:15:00,2022-08-13 06:29:59,153,7,108,60
2022-08-13 06:30:00,2022-08-13 06:44:59,342,18,242,180
2022-08-13 06:45:00,2022-08-13 06:59:59,274,14,194,120
2022-08-13 07:00:00,2022-08-13 07:14:59,912,34,647,480
2022-08-13 07:15:00,2022-08-13 07:29:59,1336,47,947,780
2022-08-13 07:30:00,2022-08-13 07:44:59,1524,54,1081,900
2022-08-13 07:45:00,2022-08-13 07:59:59,1226,45,869,720
